,0
跨領域設計學院(籌備,OD
創能學院,CC
通識中心,GE
工程與科學學院,CA
商學院,CB
人社學院,CH
資電學院,CI
建設學院,CD
金融學院,CF
國際科技與管理學院,NM
建築專業學院,AS
學分學程,PC
外語文,XA
通識核心課,XC
體育選項課,XD
綜合班,XE
統籌科目,XF
軍訓,XH
經管學院,MB
